Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Aperitivo Vinico Blanco Casa del Rhin Misa,2,Casa del Rhin,750 ml,Vinos,32500,https://olimpica.vtexassets.com/arquivos/ids/606071/7702121213125.jpg
Vino Tinto Isabella,11,Isabella,750 ml,Vinos,27500,https://exitocol.vteximg.com.br/arquivos/ids/26657647/Vino-Tinto-Isabella-Botella-X-750ml-24502_a.jpg
Vino Blanco Semi-Seco Casa Grajales,1,Casa Grajales,750 ml,Vinos,30000,https://jumbocolombiaio.vtexassets.com/arquivos/ids/239929/7702121212081-1.jpg
Vino Avocado Casa Grajales,22,Casa Grajales,750 ml,Vinos,37500,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-ABOCADO-CASA-GRAJALES.jpg
Vino Rosé Semi-Seco Valtier,10,Valtier,750 ml,Vinos,32500,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-ROSE-SEMISECO-VALTIER.jpg
Vino Blanco Semi-Seco Casa Grajales Valtier,2,Casa Grajales,750 ml,Vinos,30000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-SEMISECO-VALTIER-CASA-GRAJALES-1.jpg
Vino Z de Uva,1,Vino Zeta,750 ml,Vinos,25000,https://vinzeta.com.co/wp-content/uploads/2016/11/VINO-Z-750-ml-VINZETA-WEB.jpg
Vino Dulce Estoril,3,Estoril,750 ml,Vinos,27500,https://carulla.vtexassets.com/arquivos/ids/19575923/Vino-Estoril-Dulce-Botella-X-750ml-24490_a.jpg
Lazo Chile Cabernet Sauvignon Undurraga,1,Lazo,750 ml,Vinos,42500,https://exitocol.vteximg.com.br/arquivos/ids/26657734/Vino-Tinto-Cabernet-Sauvignon-Lazo-X-750ml-215445_a.jpg
Lazo Chile Sauvignon Blanc Undurraga,1,Lazo,750 ml,Vinos,42500,https://olimpica.vtexassets.com/arquivos/ids/631053/7804315000396.jpg
Arbor Mist Tropical Fruits Chardonnay,1,Arbor Mist,750 ml,Vinos,60000,https://images.gotoliquorstore.com/product/1000005608/af8e30a8-d98a-42d1-bb70-59cb61591635_360_m.jpg
Arbor Mist Melon White Zinfandel,1,Arbor Mist,750 ml,Vinos,60000,https://images.vivino.com/thumbs/TOZAIz7eQxWBRYk5hjzrsg_pb_600x600.png
Brandy Napoleon Chateau Veralet,3,Napoleon,700 ml,Licores,90000,https://www.arflina.com/ProductoImagen/gp624/1047.jpg
V.S.O.P Gran Prix Brandy Reserva Napoleon,6,Napoleon,750 ml,Licores,120000,https://monegroliquor.store/wp-content/uploads/2023/11/BRANDY-NAPOLEON-V.S.O.P.-RESERVE.jpg
Lanceros Brandy ,2,Lanceros,750 ml,Licores,75000,https://exitocol.vtexassets.com/arquivos/ids/26665475/BRANDY-BOTELLA-24363_a.jpg
V.S.O.P Grajales Brandy,1,Casa Grajales,375 ml,Licores,50000,https://olimpica.vtexassets.com/arquivos/ids/939403/7702121000800.jpg
Imported koskenkorva aperitivo durazno,8,Koskenkorva,1 L,Licores,90000,https://images-svetnapojov-cdn.rshop.sk/gallery-big/products/715293642495b42ab2950ecc6a8e6160.png
Imported koskenkorva aperitivo Manzana,4,Koskenkorva,1 L,Licores,90000,https://www.berevita.com/pub/media/catalog/product/cache/99ebd279c948de0953beb1f3885deedb/k/o/koskenkorva-apple.jpg
Vino Blanco de Misa San Pedro De la Union Dulce para Consagrar,9,Casa Grajales,750 ml,Vinos,32500,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-MISA-SAN-PEDRO-DE-LA-UNION-VINO-DE-MISA-CASA-GRAJALES.jpg
Ron Bacardi Añejo Cuba ,3,Bacardi,750 ml,Licores,70000,https://megatiendas.vtexassets.com/arquivos/ids/156311/7501008611135.jpg
Leyenda Carmenere 2014 Chile Valle Central Vino,9,Leyenda,750 ml,Vinos,55000,https://licorescasamoreno.com/wp-content/uploads/2023/07/Vino_Leyenda_Cabernet_187ml-1.png
j. Alfonso Vino de Manzana ,1,J. Alfonso,750 ml,Vinos,27500,https://vincorte.com/wp-content/uploads/2024/10/716.jpg
Delicio de Manzana Aperitivo Vinico Grajales,1,Casa Grajales,750 ml,Vinos,30000,https://exitocol.vtexassets.com/arquivos/ids/26655649-300-auto/Aperitivo-Delicioso-Manzana-Burbuejeante-X-750ml-170733_a.jpg
Artesia Costers del Segre 1999 Vino Blanco Variedades Macabeu,1,Artesia,750 ml,Vinos,70000,https://www.molidelpau.cat/1524-large_default/artesi%C3%A0-blanco.jpg
Canan Vino Burbujeante Durazno,2,Canan,750 ml,Vinos,35000,https://carulla.vteximg.com.br/arquivos/ids/17475326/VINO-BURBUJEANTE-DE-DURAZNO-CANAN-750-ml-1566218_a.jpg
Canan Vino Burbujeante Manzana,1,Canan,750 ml,Vinos,35000,https://images.rappi.com/products/215719834969_bnuaapkwywft_225777841721_qicpartfvbia_1815301_1.png
Canan Vino Tinto Moscatel Dulce Sabor Uva,1,Canan,750 ml,Vinos,32500,https://carulla.vteximg.com.br/arquivos/ids/17475325/VINO-TINTO-MOSCATEL-CANAN-750-Mililitro-1566216_a.jpg
Vino Blanco Semiseco,1,Casa Grajales,750 ml,Vinos,30000,https://exitocol.vteximg.com.br/arquivos/ids/27142373/Vino-Blanco-Diamante-Semiseco-X-750ml-735364_a.jpg
Encendedor El SOL,25,EL SOL,8.5 ml,Encendedor,2000,https://mercadoslpineda.co/9135-thickbox_default/encendedor-el-sol-x-und-electronico.jpg
Recogedor Verde,9,Sin marca,Unidad,Hogar,7000,https://www.kipclin.com/images/virtuemart/product/KIP-ZOI-989117V.jpg
Recogedor Azul,11,Sin marca,Unidad,Hogar,7000,https://daryza.com/wp-content/uploads/2021/09/Recogedor-de-basura-azul.jpg
Palos Escoba,260,Sin marca,Unidad,Hogar,5000,https://dotacionesromil.com/wp-content/uploads/2023/11/palos-azul-multiuso-120.jpg
Encendedor Bengala,20,Bengala,8.5 ml,Encendedor,2500,https://olimpica.vtexassets.com/arquivos/ids/1052221/7703252036249.jpg
Cigarrillos L&M Negro,18,L&M,Unidad,Cigarrillos,8500,https://hitcigars.com/wp-content/uploads/2024/01/lm-forward-menthol-20s-001.jpg
Cigarrillo Marlboro Verde Pequeño,1,Marlboro,Unidad,Cigarrillos,9000,https://latorremx.vtexassets.com/arquivos/ids/183262/2047419-frontal.jpg
Cigarrillo Marlboro Verde Mediano,5,Marlboro,Unidad,Cigarrillos,10000,https://i.ebayimg.com/thumbs/images/g/6pQAAOSwVqBmpA~-/s-l1200.jpg
Cigarrillo Marlboro Verde Grandes,2,Marlboro,Unidad,Cigarrillos,11000,https://cdn.quicksell.co/-Mk2olrjepwccC7R1eDF/products/-NKmWuostgks04aaWoXY.jpg
Cigarrillos L&M Blue Evo ,2,L&M,Unidad,Cigarrillos,8500,https://copservir.vtexassets.com/arquivos/ids/1572799/CIGARRILLO-L-M-BLUE-EVO_F.png
Cigarrillos L&M Blue Selection ,3,L&M,Unidad,Cigarrillos,8500,https://exitocol.vtexassets.com/arquivos/ids/27256013/Cigarrillo-Media-Blue-Selection-L-M-1-und-3384499_a.jpg
Cigarrillo Marlboro Red Selection,2,Marlboro,Unidad,Cigarrillos,10000,https://copservir.vtexassets.com/arquivos/ids/1572142/CIGARRIMARLBOREDSELECTION_F.png
Cigarrillo Piel Roja,1,Piel Roja,Unidad,Cigarrillos,7500,https://licoreslarebaja.com/676-large_default/cigar-piel-roja-20un.jpg
Cigarrillo Marlboro Blanco Original,1,Marlboro,Unidad,Cigarrillos,10000,https://supermercadosnacional.com/media/catalog/product/cache/fde49a4ea9a339628caa0bc56aea00ff/2/0/2004273-1__1719587722.jpg
Cigarrillo Marlboro Vista Azul,4,Marlboro,Unidad,Cigarrillos,10000,https://cdn.inoutdelivery.com/altoque.inoutdelivery.com.co/xs/7702005601161.png
Cigarrillo Lucky Strike,4,Lucky Strike,Unidad,Cigarrillos,9500,https://licoreslarebaja.com/661-large_default/cigarrillos-lucky-strike-blanco-x-20.jpg
Gillete PrestoBarba,6,Gillette,Unidad,Aseo Personal,5000,https://images.ctfassets.net/f2o0m7zxveci/49Lhohp5lxOBfyhUTn1te7/ef59922c5a4bf2b686cd8277b3a4f055/sp_overview_2x.png
Gillete Venus suave,4,Gillette,Unidad,Aseo Personal,12000,https://dojiw2m9tvv09.cloudfront.net/60557/product/gillete-venus-suave6962.png
Papel Elite Duo 28 Metros,4,Elite,28 m,Aseo Personal,4500,https://static.compreloadomicilio.com/dulceriavainilla/products/0736/710.jpg
Papel Elite Duo 36 Metros,5,Elite,36 m,Aseo Personal,5500,https://www.elite.co/assets/uploads/images/18301-rollazo-grande-min.png
Papel Rosal 20 Metros,25,Rosal,20 m,Aseo Personal,3500,https://mercadoslpineda.co/1407-thickbox_default/papel-higienico-rosal-plus-super-rollo-xxg-x-1.jpg
Papel Rosal 30 Metros,10,Rosal,30 m,Aseo Personal,4800,https://supertiendascomunal.com/6498-large_default/papel-higienico-el-rosal-plus-grande.jpg
Familia Expert,4,Familia,"26,11 m",Aseo Personal,6000,https://en1ya.com/wp-content/uploads/2022/12/PAPEL-HIGIENICO-FAMILIA-EXPERT-4-HOJAS-X1-UNIDAD.jpg
Familia Familiar,24,Familia,26 m,Aseo Personal,5800,https://mistiendas.com.co/1636-large_default/papel-higienico-familia-familiar.jpg
Papel Scott,9,Scott,30 m,Aseo Personal,5000,https://www.mgk.com.co/mgk-web/wp-content/uploads/2020/10/FOTOOOOOO.jpg
Vino blanco ISABELLA - Pedro Domecq Colombia,5,Pedro Domecq,750 ml,Vinos,28000,https://exitocol.vteximg.com.br/arquivos/ids/24493778/Vino-Frizzante-Vitis-ISABELLA-750-ml-3247392_a.jpg
Trivento Golden Reserve Chardonnay,1,Trivento,750 ml,Vinos,65000,https://www.vinoselkiosco.com/wp-content/uploads/2020/10/VinoGoldenReserveChardonnay.png
Koskenkorva Aperitivo de Manzana IMPORTED,11,Koskenkorva,700 ml,Aperitivos,90000,https://premiumdrinks.es/wp-content/uploads/IMG10968.jpg
Vino blanco de misa Gran Concilio Semidulce para consagrar,10,Gran Concilio,750 ml,Vinos,32000,https://images.rappi.com/products/943494800858_gsxcnzlwdyic_399286378832_huzilxdtrtvc_1166915_1.png
Vino de cocina blanco seco Gourmet,2,Gourmet,750 ml,Vinos,20000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-DE-COCINA-BLANCO-GOURMET-CASA-GRAJALES-COLOMBIA.jpg
Moscato PASSITO Vino,1,PASSITO,750 ml,Vinos,55000,https://vinosbodegasanejas.com/wp-content/uploads/2020/11/vino-tinto-moscato-passito-botella.png
Vino para sazonar blanco SAZÓN,14,SAZÓN,750 ml,Vinos,18000,https://exitocol.vteximg.com.br/arquivos/ids/26657826/Vino-Blanco-Para-Sazonar-X-750ml-112524_a.jpg
Vino blanco de cocina DON DAVID,8,Don David,750 ml,Vinos,22000,https://http2.mlstatic.com/D_890065-MLA75004091691_032024-C.jpg
Vino ABOCADO Casa Grajales,5,Casa Grajales,750 ml,Vinos,30000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-ABOCADO-CASA-GRAJALES.jpg
Vino blanco Chile Viña LAS GARZAS,6,Viña LAS GARZAS,750 ml,Vinos,35000,https://images.vivino.com/thumbs/YvN_n-okTZSBGk4-sJHD4w_150x200.jpg
Vino tinto Chile Viña LAS GARZAS,12,Viña LAS GARZAS,750 ml,Vinos,35000,https://images.vivino.com/labels/x1990MJGQJ6Nmu9p3IaRCw.jpg
Vino tinto seco Grajales,83,Casa Grajales,750 ml,Vinos,30000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-TINTO-SECO-VINO-SECO-CASA-GRAJALES.jpg
Vino blanco de misa dulce para consagrar Casa Grajales,3,Casa Grajales,750 ml,Vinos,32000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-DE-MISA-375-VINO-DE-MISA-CASA-GRAJALES.jpg
Tequila OLMECA Reposado - México,2,Olmeca,750 ml,Tequilas,120000,"https://static.wixstatic.com/media/477dc5_c9d6bea423874d8d85d683a09603a192~mv2.png/v1/fill/w_560,h_560,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/477dc5_c9d6bea423874d8d85d683a09603a192~mv2.png"
Six pack Poker,8,Poker,Six Pack,Bebida,18000,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702004007674_1.jpg
Baterías Varta AAA,4,Varta,AAA,Baterías,12000,https://olimpica.vtexassets.com/arquivos/ids/1389575/783094051072.jpg
Arroz Rica Sopa,4,Rica,Sopa,Alimentos,4000,https://www.mercaboy.com/7562-large_default/arroz-rica-sopa-500gr.jpg
Baterías Varta AA,5,Varta,AA,Baterías,12000,https://jumbocolombiaio.vtexassets.com/arquivos/ids/204951/783094051003-1.jpg
Baterías Alcalina,1,Genérica,Varios,Baterías,10000,https://www.steren.com.co/media/catalog/product/cache/bb0cad18a6adb5d17b0efd58f4201a2f/image/163462b69/paquete-de-4-pilas-alcalinas-aa.jpg
Baterías Varta Super AA,6,Varta,Super AA,Baterías,15000,https://www.superlosmontes.com/site/9818-large_default/baterias-varta-super-aa-2unds.jpg
Sal Refisal,14,Refisal,1 kg,Alimentos,2500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/752384/7703812101202-1.jpg
Baterías Varta Super AAA,4,Varta,Super AAA,Baterías,15000,https://i.ebayimg.com/thumbs/images/g/Vq4AAOSwUQll--hM/s-l1200.jpg
Baterías Duracell AAA,2,Duracell,AAA,Baterías,18000,https://olimpica.vtexassets.com/arquivos/ids/1389185/41333001074.jpg
Baterías Tronex Electrónica,5,Tronex,Electrónica,Baterías,16000,https://cvrelectronica.com/productos/imagenes/Bater%C3%ADa-tronex-AA-carbon.jpg
Batería Varta Super Máxima,1,Varta,Máxima,Baterías,24000,https://farmapalacio.com/wp-content/uploads/2024/08/PILA-VARTA-SUPER-AZUL-GRANDE-X-2-UDS.jpg
Baterías Panasonic General C,3,Panasonic,C,Baterías,20000,https://confiatechnology.com/wp-content/uploads/2023/04/pila-panasonic-c-2.jpeg
Azúcar Mayagüez,2,Mayagüez,1 kg,Alimentos,6500,https://megatiendas.vtexassets.com/arquivos/ids/162576/7707007200459.jpg
Arroz Diana Normal,12,Diana,Normal,Alimentos,5500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/186299/7702511000021.jpg
Arroz Diana Premium,3,Diana,Premium,Alimentos,6800,"https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_480,h_540/https://grupodiana.co/wp-content/uploads/2021/05/arroz_premium.png"
Baterías Eveready 9V,2,Eveready,9V,Baterías,25000,https://carulla.vtexassets.com/arquivos/ids/12993463/pila-bateria-eveready-carbon-9v1-extra-duracion.jpg
Arroz Roa,29,Roa,1 kg,Alimentos,5800,https://exitocol.vteximg.com.br/arquivos/ids/27183294/Arroz-Fortificado-Roa-Bolsa-X-5000g-722262_a.jpg
Baterías Energizer AA Max,12,Energizer,AA Max,Baterías,19000,https://olimpica.vtexassets.com/arquivos/ids/1389406/39800015464.jpg
Baterías Eveready AAA,14,Eveready,AAA,Baterías,14000,https://copservir.vtexassets.com/arquivos/ids/1556885/PILA-ENERGIZER-ALKALINA-AAA_F.jpg
Arroz Flor Huila,10,Flor Huila,1 kg,Alimentos,5800,https://olimpica.vtexassets.com/arquivos/ids/614907/7702231000028.jpg
Baterías Energizer 9V Max,4,Energizer,9V Max,Baterías,28000,https://panamericana.vtexassets.com/arquivos/ids/351179/pila-alcalina-energizer-max-de-9-voltios-39800013613.jpg
Arroz Diana,25,Diana,5 kg,Alimentos,25000,https://mercadoslpineda.co/1870-large_default/arroz-diana-x-2500-g.jpg
Baterías Energizer Max AAA,2,Energizer,Max AAA,Baterías,19000,https://olimpica.vtexassets.com/arquivos/ids/1389488/7702087359776.jpg
Baterías Energizer D2,2,Energizer,D2,Baterías,22000,https://copservir.vtexassets.com/arquivos/ids/1565541/PILA-ALCALINA-ENERGIZER-MAX-D2_P.png
Batería Eveready C,1,Eveready,C,Baterías,20000,https://ferretronica.com/cdn/shop/products/Par_de_Pilas_Tipo_C_Eveready_2_Baterias_tipo_C_ferretronica_2ba277d7-bb93-4acb-bbfb-412d30b93161.jpg
Gaseosa Seven-Up,2,Seven-Up,2 L,Bebida,5500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/208449/7702090036534.jpg
Gaseosa Manzana Postobón,3,Postobón,2.5 L,Bebida,6500,https://olimpica.vtexassets.com/arquivos/ids/1441110/7702090016406.jpg
Gaseosa Pony Malta,1,Postobón,330 ml,Bebida,2500,https://carulla.vtexassets.com/arquivos/ids/19577171/Pony-Malta-Pet-330-ml-617569_a.jpg
Gaseosa Colombiana,1,Postobón,2 L,Bebida,5500,https://eurosuper.vtexassets.com/arquivos/ids/159859/7702090016413.jpg
Gaseosa Pepsi,2,Pepsi,2.5 L,Bebida,6000,https://prodcdnmobisoft.oxxodomicilios.com/01J5Z8YBRG5QD77Q8XERYVBEXZ.jpeg
H2O,4,Postobón,600 ml,Bebida,3000,https://licoresmedellin.com/cdn/shop/files/AGUA_SABORIZADA_H20H__LIMONATA_600ML.jpg
Gaseosa Bretaña,1,Bretaña,1.5 L,Bebida,4500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/626602/7702090029543-1.jpg
Coca-Cola retornable,1,Coca-Cola,1 L,Bebida,3800,https://www.entuhogar.coca-cola.com.co/media/catalog/product/c/o/coccol-orig-ret-vid-1l-int-1pz_1_2.jpg
