Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Menta helada,4,Sin marca,360g (100 unidades),Golosinas,8000,https://exitocol.vteximg.com.br/arquivos/ids/26634554/Confite-Menta-Helada-X-50u-13561_a.jpg
Menta helada colombina,3,Colombina,400g (100 unidades),Golosinas,10000,https://mercavil.com/38893-thickbox_default/confite-menta-helada-100u-18.jpg
Choco break surtido frutal,4,Choco break,150g (30 unidades),Golosinas,8000,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702011039293_40.jpg
Masmelos Italo,8,Italo,50 gr,Golosinas,2500,https://olimpica.vtexassets.com/arquivos/ids/617428/7702117006724.jpg
Gomitas trululu gusanos,6,Trululu,90g,Golosinas,4000,https://exitocol.vtexassets.com/arquivos/ids/26680773/Gomitas-Gusanos-Acidos-Frutal-TRULULU-100-gr-3530799_a.jpg
Trident sabor menta,8,Trident,"5,1g",Golosinas,2000,https://megatiendas.vtexassets.com/arquivos/ids/156886/7622201776664.jpg
Moritas dulce duro relleno,8,Italo,350g (100 unidades),Golosinas,12000,https://villavoexpress.com/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDM4MDg5LCJwdXIiOiJibG9iX2lkIn19--1e096ac3ecb99bdf2a7362d24e05c54e8ca2c8a8/1061179.jpg
Choco break caramelo,2,Choco break,150g (30 unidades),Golosinas,8000,https://exitocol.vtexassets.com/arquivos/ids/26909200/Chocolate-CHOCOBREAK-Caramelo-150-gr-3616660_a.jpg
Choco break cookies,7,Choco break,150g (30 unidades),Golosinas,8000,https://olimpica.vtexassets.com/arquivos/ids/1837674/7702011092021_A1N1_es.jpg.jpg
Bary snacks maní con sal,8,Bary,35g,Snacks,2500,https://pacardylwpmedia.s3.us-east-2.amazonaws.com/wp-content/uploads/2024/02/19201645/7702439225773.jpg
Bary snacks maní limón,4,Bary,35g,Snacks,2500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702439144241.jpg
Aji-no-men sopa con fideos sabor a carne,8,Aji-no-men,80g,Sopas,3000,https://vixark.b-cdn.net/lp-i-i-g/sopa-con-fideos-con-sabor-a-carne-aji-no-men-86g.jpg
Aji-no-men sopa con fideos sabor a gallina criolla,5,Aji-no-men,80g,Sopas,3000,https://vixark.b-cdn.net/lp-i-i-g/sopa-con-fideos-con-sabor-a-gallina-aji-no-men-80g-criolla.jpg
Aji-no-men sopa con fideos sabor a oriental,3,Aji-no-men,80g,Sopas,3000,https://www.ajinomoto.com.co/wp-content/uploads/2022/10/ORIENTAL-WEB.png
Aji-no-men sopa con fideos sabor a gallina,9,Aji-no-men,80g,Sopas,3000,https://www.ajinomoto.com.co/wp-content/uploads/2022/10/GALLINA-WEB.png
Aji-no-men sopa con fideos sabor a pollo,9,Aji-no-men,80g,Sopas,3000,https://www.ajinomoto.com.co/wp-content/uploads/2022/10/POLLO-CON-VERDURAS-WEB.png
Aji-no-men sopa con fideos sabor a pollo con verduras,4,Aji-no-men,80g,Sopas,3000,https://megatiendas.vtexassets.com/arquivos/ids/168122/7754487001694.jpg
Aji-no-men sopa con fideos sabor a costilla de res,7,Aji-no-men,80g,Sopas,3000,https://www.ajinomoto.com.co/wp-content/uploads/2022/10/COSTILLA-WEB.png
De la abuela crema de mariscos,4,De la abuela,70g,Cremas,4000,https://elviejoparisvirtual.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTU2NzE3NiwicHVyIjoiYmxvYl9pZCJ9fQ==--5fa4ca3f4b95d1d3f89b9488d427d7a6fc0d3bf8/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/crema%20marinera%20maggi.jpg
De la abuela crema de champiñones,4,De la abuela,72g,Cremas,4000,https://olimpica.vtexassets.com/arquivos/ids/1412741/7702024008064-1.jpg
De la abuela sopa de costilla y fideos,1,De la abuela,73g,Sopas,4000,https://misaboracolombia.com/cdn/shop/files/sopa-inst-maggi-costilla-fideos-65grs7702024015307.jpg
De la abuela sopa de pollo y fideos,5,De la abuela,70g,Sopas,4000,https://alberdisa.vteximg.com.br/arquivos/ids/159914-292-292/Sopa-De-La-Abuela-Fid-T.Campes-x68gr.jpg
De la abuela crema de ajiaco,2,De la abuela,70g,Cremas,4000,https://carulla.vteximg.com.br/arquivos/ids/19584569/CREMA-DE-AJIACO-880146_a.jpg
MiDia conservas de pescado en salsa de tomate,5,MiDia,144g lata,Conservas,5000,https://www.midia.com.co/sites/default/files/styles/product_detail/public/2024-02/025_Sardina_Tinapa_MiDia_144_g.png
VanCamps aceite de girasol,6,VanCamps,425g,Conservas,8000,https://exitocol.vteximg.com.br/arquivos/ids/26661909/Atun-Aceite-X-160-Grs-545806_a.jpg
VanCamps salsa de tomate atún,3,VanCamps,225g,Conservas,6000,https://elviejoparisvirtual.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTQwNjQ1LCJwdXIiOiJibG9iX2lkIn19--0dc5cc88c3ef1b396868bee06e9193a0e443c1bc/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/sardina-van-camps-tomate-660fe8b3-faf8-4fbc-870e-1e38201d1954.jpg
Fusión trozos de atún en aceite de girasol,1,Fusión,140g,Conservas,5500,https://carulla.vtexassets.com/arquivos/ids/19600196/Atun-ZENU-Tripack-Trozos-Girasol-420-gr-3649838_b.jpg
VanCamps pescado en salsa de tomate,2,VanCamps,170g,Conservas,5500,https://carulla.vteximg.com.br/arquivos/ids/19580364/Conserva-De-Pescado-Salsa-En-Tomate-Lata-X-425-gr-13147_a.jpg
VanCamps 3 latas aceite de girasol,8,VanCamps,80g,Conservas,12000,https://olimpica.vtexassets.com/arquivos/ids/1395192/7702367001029.jpg
Isabel atún aceite de girasol,9,Isabel,240g,Conservas,7000,https://exitocol.vteximg.com.br/arquivos/ids/26661927/Atun-Lomitos-En-Aceite-Girasol-1243749_a.jpg
Isabel pescado en salsa de tomate,5,Isabel,425g,Conservas,9000,https://isabelcolombia.com.co/isabel2018/wp-content/uploads/2018/03/sardinas-oval-425-1.png
VanCamps pescado en aceite de girasol,3,VanCamps,160g,Conservas,5500,https://exitocol.vteximg.com.br/arquivos/ids/26661850/Conserva-De-Pescado-En-Aceite-Natural-Lata-X-425-gr-22327_a.jpg
VanCamps agua,7,VanCamps,160g lata,Conservas,4500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702367000558_42.jpg
La soberana pescado en salsa de tomate,2,La soberana,155g,Conservas,5000,https://www.soberana.com.co/wp-content/uploads/2021/02/CONSERVA-LA-SOBERANA-TINAPA-TOMATE.-320G-.png
MiDia trozos de atún en aceite,9,MiDia,140g,Conservas,5500,https://www.midia.com.co/sites/default/files/styles/product_detail/public/2023-10/DUMMIE%20TROZO%20EN%20ACEITE%20140%20G.png
Pan trozos de atún en aceite,10,Pan,150g,Conservas,5500,https://co.allofpan.com/wp-content/uploads/2024/09/atun_aceite.png
Pan trozos de atún en agua,3,Pan,150g,Conservas,5000,https://exitocol.vtexassets.com/arquivos/ids/26680396/Trozos-Atun-En-Agua-PAN-150-gr-3510244_a.jpg
Isabel atún en aceite de girasol,10,Isabel,142g 2x1,Conservas,10000,https://isabelcolombia.com.co/isabel2018/wp-content/uploads/2018/03/Lata-160-Dark.png
Isabel atún en agua,1,Isabel,160g,Conservas,5000,https://mercasur.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjI5MTc5MywicHVyIjoiYmxvYl9pZCJ9fQ==--5a1cf62802a66f153aa682c66f81f38469c3744c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/atun%20isabel%20lomitos%20en%20agua.jpg
Aceite diana premium,4,Diana,900 ml,Aceites,15000,https://exitocol.vteximg.com.br/arquivos/ids/26677710/Aceite-Premium-DIANA-900-ml-3297591_a.jpg
Aceite diana normal,1,Diana,900 ml,Aceites,13000,"https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_348,h_537/https://grupodiana.co/wp-content/uploads/2023/09/Aceite-Diana-Vitaminas-01Sep23.png"
Aceite gustosito,8,Gusiosito,900 ml,Aceites,13000,https://i0.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2020/04/prin.jpg
Aceite viví,5,Viví,150 CM cubicos,Aceites,4000,https://mistiendas.com.co/1339-large_default/aceite-vivi-x250-cc.jpg
Aceite diana,7,Diana,250 ml,Aceites,5000,https://olimpica.vtexassets.com/arquivos/ids/866320/7702028000330.jpg
Aceite riquísimo,8,Riquísimo,250 ml,Aceites,5000,https://static.merqueo.com/images/products/large/66ddf4a4-864f-4fbe-a8fd-2c3e83206931.png
Aceite de oliva,7,Sin marca,225 ml,Aceites,12000,https://badia.vtexassets.com/arquivos/ids/156326/Copia-de-Copia-de-ACEITE-DE-OLIVA-110ml-ZOOM.png
Aceite de soya,2,Sin marca,250 ml,Aceites,5000,https://olimpica.vtexassets.com/arquivos/ids/1081668/7701008626058.jpg
Aceite soy soya,9,Soy,150 ml,Aceites,4000,https://olimpica.vtexassets.com/arquivos/ids/1081668/7701008626058.jpg
Aceite bon life,10,Non life,230 ml,Aceites,5000,https://supertiendascomunal.com/1404-thickbox_default/aceite-bon-life-500-ml.jpg
Mantequilla la fina,9,La fina,125 gr,Grasas,6000,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702161001003_32.jpg
Mantequilla Frida,10,Frida,125 gr,Grasas,5500,https://www.hv.com.co/wp-content/uploads/2018/03/frida_125.png
Mantequilla natura,2,Natura,60 gr,Grasas,3500,https://www.hv.com.co/wp-content/uploads/2018/05/Natura_Margarina2.png
Mantequilla rama,5,Rama,125 gr,Grasas,6000,https://www.rama.com.co/-/media/Project/Upfield/Brands/Rama/Rama-CO/Assets/Products/new-packshots-2023/Rama-con-Sal/CON-SAL-500G-OFERTA.png
Pepsi,4,Pepsi,250 ml retornable,Bebidas,2500,https://mercadoslpineda.co/6078-thickbox_default/gaseosa-postobon-x-250-ml-pepsi.jpg
Manzana Postobón,1,Postobón,250 retornable,Bebidas,2500,https://carulla.vteximg.com.br/arquivos/ids/18524944/GASEOSA-MANZANA-POSTOBON-250-ml-531742_a.jpg
Jugo hit frutos tropicales,2,Hit,250 ml,Bebidas,3000,https://tomatelavida.com.co/wp-content/uploads/2022/12/Hit-Frutas-tropicales-2022-G.png
Jugo hit Lulo,5,Hit,250 ml,Bebidas,3000,https://exitocol.vteximg.com.br/arquivos/ids/27520241/Hit-Lulo-Pet-500-ml-646606_a.jpg
Jugo hit mora,6,Hit,250 ml,Bebidas,3000,https://infonutricional.tomatelavida.com.co/wp-content/uploads/2023/06/Pet-500-Mora.png
Gaseosa Quatro,6,Quatro,237 ml,Bebidas,2500,https://colsubsidio.vteximg.com.br/arquivos/ids/166508-800-800/7702535012079.jpg
Gaseosa coca cola,6,Coca cola,237 ml,Bebidas,2500,https://distribuidoranikoll.com/wp-content/uploads/2023/04/IMG_20230426_183331_031.jpg
Gaseosa brisa manzana con gas,4,Brisa,237 ml,Bebidas,2500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702535027868_29.jpg
Folding mask,9,Mayfield,20 unidades pcs,Otros,15000,https://mrsindustrial.com.co/wp-content/uploads/2024/09/images-3.jpg
Don Magolo laurel deshidratado,7,Don Magolo,37g,Condimentos,2500,https://www.donmagolo.com/wp-content/uploads/2025/02/24-800x800.png
Don Magolo comino pepa,1,Don Magolo,60g,Condimentos,3000,https://www.donmagolo.com/wp-content/uploads/2025/02/18-800x800.png
Don Magolo tomillo puro,5,Don Magolo,20g,Condimentos,2000,https://www.donmagolo.com/wp-content/uploads/2025/02/8-800x800.png
Condimento de pimienta el rey,2,El rey,8g,Condimentos,1500,https://villavoexpress.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjcxMzcsInB1ciI6ImJsb2JfaWQifX0=--ee3418799785bd85e766a576931b9ed35ec0ec1c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/pimienta-en-polvo-el-rey-condimento-60-gr.jpg
Salsina comino el rey,2,El rey,13g,Condimentos,1500,https://static.compreloadomicilio.com/dulceriavainilla/products/01656/1543.jpg
Finas hierbas el rey,10,El rey,4g,Condimentos,1200,https://exitocol.vteximg.com.br/arquivos/ids/26661996/Finas-Hierbas-X15-Gramos-673387_a.jpg
Goma roller Fizz,10,Fizz,20 gr,Snacks,2000,https://distribucioneselconfite.com/5390-large_default/gomas-fini-roller-fizz-fantasia-x-20gr.jpg
Papas super ricas naturales,10,Super Ricas,105 gr,Snacks,4000,https://olimpica.vtexassets.com/arquivos/ids/904585/7702152109824.jpg
Papas super ricas de tomate,4,Super Ricas,105 gr,Snacks,4000,https://carulla.vtexassets.com/arquivos/ids/20465367/Papas-SUPER-RICAS-Fritas-Onditas-Tomate-105-gr-3676455_a.jpg
Papas fosforito supericas,4,Super Ricas,160 gr,Snacks,5000,https://carulla.vtexassets.com/arquivos/ids/18562315/Papas-Fritas-Fosforitos-SUPER-RICAS-160-gr-3483131_a.jpg
Papas todo rico BBQ,4,Todo Rico,150 gr,Snacks,4500,https://olimpica.vtexassets.com/arquivos/ids/904583/7702152109701.jpg
Papas todo rico natural,5,Todo Rico,150 gr,Snacks,4500,https://exitocol.vtexassets.com/arquivos/ids/25550945/PASABOCAS-MEZCLA-ORIGINAL-TODO-RICO-150-Gramo-1774228_a.jpg
Yupi clásicas sabor a pollo,2,Yupi,25g,Snacks,2000,https://d2j6dbq0eux0bg.cloudfront.net/images/79456011/3278698807.jpg
Maní Bary pollo,5,Bary,35 gr,Snacks,2500,https://prodcdnmobisoft.oxxodomicilios.com/01JJA0V63M0B9W4VGZSMR6ZJVZ.png
Maní Bary con pasas,8,Bary,35 gr,Snacks,2500,https://bary.s3.amazonaws.com/media/20240522123630/Mockup-Mani-Pasas-Octagonal-1.png
Maní limón,2,Bary,35 gr,Snacks,2500,https://bary.s3.amazonaws.com/media/20240522123631/Mockup-Mani-Limon-Octagonal-1.png
Maní Bary natural,6,Bary,35 gr,Snacks,2500,https://distrimarketsas.com/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTc0MDE3NywicHVyIjoiYmxvYl9pZCJ9fQ==--46caa41848cb2c72bd6a7274fb18c2192709b0f0/7702439275754.jpg
Maní moto,4,Frito Lay,44 gr,Snacks,3000,https://locatelcolombia.vtexassets.com/arquivos/ids/338236/7702189057730_1_Mani-Moto-Fritolay-X-44g.png
Trolli vacanas gomitas,7,Trolli,70g,Gomitas,4000,https://images.rappi.com/products/1713295922526_1713295916307_1713295914775.jpg
Trolli crocydilio gomitas,7,Trolli,70g,Gomitas,4000,https://eurosuper.vtexassets.com/arquivos/ids/173389/GOMAS-TROLLI-CROCYDRILO-BOLSA-X-55GR.jpg
Trolli mango buche,6,Trolli,65g,Gomitas,3500,https://prodcdnmobisoft.oxxodomicilios.com/01HW84WXSTJPVB6XSSAF2K7C2S.jpg
Trolli pipatamo,2,Trolli,70g,Gomitas,4000,https://megatiendas.vtexassets.com/arquivos/ids/169505/7702174083591.jpg
Trolli rin rin,6,Trolli,65g,Gomitas,3500,https://megatiendas.vtexassets.com/arquivos/ids/175498/7702174085663.jpg
Trolli enamorados,10,Trolli,60g,Gomitas,3500,https://olimpica.vtexassets.com/arquivos/ids/1536211/7702174085564_Trolli_Enamoras-x60-2.jpg
Colombina gummies gomitas bom BOM bum,2,Colombina,45g,Gomitas,3000,https://carulla.vtexassets.com/arquivos/ids/20547452/GOMITAS-BBB-24BS145g-BON-BON-BUM-45-gr-3506931_a.jpg
Gomitas grissly gamer,10,Grissly,40g,Gomitas,2500,https://mercaldas.vtexassets.com/arquivos/ids/1342059/Gomas-GRISSLY-gamers-x40-g_133629.jpg.jpg
Gomitas trululu neon,2,Trululu,85g,Gomitas,4000,https://prodcdnmobisoft.oxxodomicilios.com/01HSE0SZZVP9N1M1YB6032BCQ0.jpg
Gomitas trululu gusanos ácidos,2,Trululu,70g,Gomitas,3500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702993051733.jpg
Gomitas trululu oro,10,Trululu,90g,Gomitas,4000,https://copservir.vtexassets.com/arquivos/ids/1564673/GOMA-TRULULU-ORO_F.png
Gomitas trululu fresitas,4,Trululu,70g,Gomitas,3500,https://pasteurio.vtexassets.com/arquivos/ids/187829/470018_01.jpg
Italo gomas,2,Italo,40 gr,Gomitas,2500,https://mercosto.com/53211-large_default/gomas-italo-media-luna-40g.jpg
Gomitas sabor mora,8,Colombina,40 gr,Gomitas,2500,https://prodcdnmobisoft.oxxodomicilios.com/01J1Y9VSE5W4W7F5JN7Q2WPYYF.png
Súper pupy,1,Triunfo,312g (24 unid),Dulces,18000,https://exitocol.vteximg.com.br/arquivos/ids/26649615/Chupeta-Super-Pupy-TRIUNFO-312-gr-3429964_a.jpg
Bombón barrilete,4,Colombina,456g (24 unid),Dulces,25000,https://exitocol.vteximg.com.br/arquivos/ids/26634564/Bombo-De-Barrilete-Original-Pqt-24-Unids-228891_a.jpg
"Pin pop gigante paleta azul,rojo",7,Pin Pop,No especificado,Dulces,1500,https://www.confitiendas.com/wp-content/uploads/2022/03/14019_202102231650102775446.jpeg
Pin pop gigante fresa,4,Pin Pop,480g (24 unid),Dulces,25000,https://carulla.vteximg.com.br/arquivos/ids/19567623/Caramelo-Duro-Chupeta-Fresa-Mora-PIN-POP-480-gr-3507105_b.jpg
Pupy leche,9,Triunfo,312g (24 unid),Dulces,18000,https://i0.wp.com/www.grupodelsur.co/wp-content/uploads/2023/06/CHUPETA-PUPY-LECHE.png
Colombina max coco,5,Colombina,14g,Dulces,1500,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011082244_A1N1_es.jpg
Kick lolipop,7,No especificada,24g,Dulces,2000,https://i.ytimg.com/vi/aIA3ronHrdE/hq720.jpg
BOM BOM bum sabor a fresa,5,Colombina,456g (24 unid),Dulces,25000,https://images.openfoodfacts.org/images/products/770/201/128/1180/front_es.20.full.jpg
BOM BOM bum,10,Colombina,228g (12 unid),Dulces,15000,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702011281166_40.jpg
BOM BOM bum surtido tropical,1,Colombina,456g (24 unid),Dulces,25000,https://olimpica.vtexassets.com/arquivos/ids/1395088/7702011076557.jpg
BOM BOM bum cereza intensa,8,Colombina,456g (24 unid),Dulces,25000,https://olimpica.vtexassets.com/arquivos/ids/1395114/7702011089090.jpg
ChocoDisk Sandy,1,Sandy,16g,Dulces,1500,https://prodcdnmobisoft.oxxodomicilios.com/01HSE2JM56HFV9QV51YBCEJNN8.png
Bubaloo fresa,1,Bubaloo,5.1g,Chicles,1000,https://olimpica.vtexassets.com/arquivos/ids/895538/7622210589194.jpg
